################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: xph2app003
#     Report Created on: Tue Jun  6 10:55:32 2017
#     Working Directory: /tp/xph2app/xph2app003/Prj_conception/Design/spy
#     Report Location  : ./spyglass-1/dft/dft_scan_ready/spyglass_reports/dft/dft_data/dft_data_02.csv
#     SpyGlass Version : 5.6.0
#     Policy Name      : dft(5.6.0)
#     Comment          : Flip-flop DFT Information
#
################################################################################
#CrossProbeTag:DFT_DATA_CSV_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1

TagId, Flip-flop Name, Scannability, Shift-CP-Root, Capture-CP-Root, D-Cnt in capture, RST-Cnt in capture, PRE-Cnt in capture, Observability, Used, Initialized, Shift-Sim, Capture-Sim
60, CORDIC_top.cell3.\x_out_reg[1]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
61, CORDIC_top.cell3.\x_out_reg[2]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
62, CORDIC_top.cell3.\x_out_reg[3]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
63, CORDIC_top.cell3.\x_out_reg[4]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
64, CORDIC_top.cell3.\x_out_reg[5]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
65, CORDIC_top.cell3.\x_out_reg[6]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
66, CORDIC_top.cell3.\x_out_reg[7]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
67, CORDIC_top.cell3.\y_out_reg[0]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
68, CORDIC_top.cell3.\y_out_reg[1]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
69, CORDIC_top.cell3.\y_out_reg[2]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
